datetime,price,size,pnl,commission,pnlcomm
2015-02-04,237.97,0.0,-1.0620000000000005,0.09306400000000001,-1.1550640000000005
2015-03-25,240.59,0.0,0.6340000000000003,0.09750400000000001,0.5364960000000003
2015-05-28,229.78,0.0,0.5560000000000003,0.09302400000000001,0.4629760000000003
2015-05-31,236.02000000000004,0.0,-0.39500000000000457,0.093618,-0.48861800000000455
2015-08-08,245.78000000000003,0.0,3.3229999999999964,0.104958,3.2180419999999965
2015-09-22,235.61,0.0,-0.9460000000000008,0.09235200000000002,-1.0383520000000008
2015-11-20,237.15000000000003,0.0,8.935999999999996,0.112732,8.823267999999997
2016-01-04,359.11,0.0,7.168000000000001,0.15798,7.010020000000001
2016-01-16,448.0,0.0,-8.8,0.16160000000000002,-8.9616
2016-03-11,407.51000000000005,0.0,0.8489999999999953,0.16470200000000002,0.6842979999999953
2016-05-20,415.43000000000006,0.0,2.086999999999995,0.170346,1.916653999999995
2016-07-02,522.13,0.0,15.241999999999997,0.239336,15.002663999999998
2016-07-08,702.48,0.0,-6.3590000000000035,0.268274,-6.627274000000003
2016-07-28,674.8,0.0,-1.966999999999996,0.265986,-2.232985999999996
2016-09-29,604.98,0.0,-0.10500000000000682,0.241782,-0.3467820000000068
2017-01-15,608.01,0.0,21.151,0.285506,20.865493999999998
2017-03-19,919.99,0.0,4.940999999999997,0.37787800000000005,4.563121999999997
2017-06-29,1190.66,0.0,136.924,0.750112,136.173888
2017-09-14,2564.82,0.0,130.052,1.286032,128.765968
2017-12-30,4391.48,0.0,994.8520000000001,3.746296,991.1057040000001
2018-03-13,11233.41,0.0,-211.817,4.06973,-215.88673
2018-05-16,8172.83,0.0,30.915999999999986,3.330964,27.585035999999988
2018-08-09,6706.6,0.0,-42.27100000000001,2.5980980000000002,-44.86909800000001
2018-09-13,6984.34,0.0,-65.75100000000002,2.6622339999999998,-68.41323400000002
2018-10-12,6574.290000000001,0.0,-42.15300000000007,2.5454100000000004,-44.69841000000007
2018-11-14,6405.49,0.0,-14.963000000000012,2.53227,-17.495270000000012
2019-01-16,4034.54,0.0,-45.76199999999999,1.5222920000000002,-47.28429199999999
2019-06-11,3560.45,0.0,445.754,2.315688,443.438312
2019-07-19,8973.02,0.0,166.54200000000003,3.922292,162.61970800000003
2019-08-22,11973.46,0.0,-184.98999999999998,4.419404,-189.409404
2019-09-24,10093.39,0.0,-40.7699999999999,3.9558160000000004,-44.725815999999895
2019-11-17,9547.32,0.0,-106.17099999999992,3.606586,-109.77758599999993
2020-01-03,7372.79,0.0,-42.70900000000002,2.8636980000000003,-45.57269800000002
2020-02-27,7356.05,0.0,142.23200000000006,3.226884,139.00511600000004
2020-05-30,6780.57,0.0,264.7950000000001,3.2418180000000003,261.55318200000005
2020-06-21,10203.64,0.0,-84.77099999999992,3.9119140000000003,-88.68291399999991
2020-07-17,9191.0,0.0,-5.655999999999949,3.6650880000000003,-9.32108799999995
2020-08-29,9537.23,0.0,200.15100000000004,4.215194,195.93580600000004
2021-01-27,10611.169999999998,0.0,2191.0480000000002,8.626564,2182.421436
2021-03-07,39274.8,0.0,965.832,17.641584,948.190416
2021-04-24,54927.29,0.0,-374.95200000000045,21.221012,-396.1730120000004
2021-05-13,58336.16,0.0,-891.6720000000001,21.551120000000004,-913.2231200000001
2021-06-24,38110.25,0.0,-441.6260000000002,14.360848,-455.9868480000002
2021-09-14,39446.94,0.0,553.6829999999994,16.886142,536.7968579999995
2021-11-21,55360.1,0.0,442.57500000000005,23.02919,419.5458100000001
2022-01-03,47745.25,0.0,-45.469999999999715,19.007160000000002,-64.47715999999971
2022-02-25,44106.95,0.0,-574.6019999999997,16.493576,-591.0955759999997
