,datetime,price,size,type,commission,pnl,pnlcomm
0,2015-01-17,206.6,1,buy,0.91938,46.49000000000001,45.57062000000001
1,2015-01-26,253.09,1,sell,0.91938,46.49000000000001,45.57062000000001
2,2015-03-10,287.0,1,buy,1.1428,-2.6000000000000227,-3.742800000000023
3,2015-03-14,284.4,1,sell,1.1428,-2.6000000000000227,-3.742800000000023
4,2015-06-27,243.2,1,buy,0.98874,7.969999999999999,6.981259999999999
5,2015-06-28,251.17,1,sell,0.98874,7.969999999999999,6.981259999999999
6,2015-07-13,310.24,1,buy,1.20448,-18.24000000000001,-19.44448000000001
7,2015-07-14,292.0,1,sell,1.20448,-18.24000000000001,-19.44448000000001
8,2015-10-11,245.71,1,buy,1.0176,17.379999999999967,16.362399999999965
9,2015-10-17,263.09,1,sell,1.0176,17.379999999999967,16.362399999999965
10,2015-10-26,283.96,1,buy,1.1417199999999998,2.9399999999999977,1.7982799999999979
11,2015-10-27,286.9,1,sell,1.1417199999999998,2.9399999999999977,1.7982799999999979
12,2015-10-28,295.59,1,buy,1.2097799999999999,13.710000000000036,12.500220000000036
13,2015-11-01,309.3,1,sell,1.2097799999999999,13.710000000000036,12.500220000000036
14,2015-11-03,361.73,1,buy,1.499,26.039999999999964,24.540999999999965
15,2015-11-06,387.77,1,sell,1.499,26.039999999999964,24.540999999999965
16,2015-11-12,309.9,1,buy,1.29236,26.379999999999995,25.087639999999997
17,2015-11-14,336.28,1,sell,1.29236,26.379999999999995,25.087639999999997
18,2015-11-15,333.02,1,buy,1.30464,-13.71999999999997,-15.02463999999997
19,2015-11-16,319.3,1,sell,1.30464,-13.71999999999997,-15.02463999999997
20,2015-12-09,418.8,1,buy,1.66832,-3.4399999999999977,-5.108319999999997
21,2015-12-11,415.36,1,sell,1.66832,-3.4399999999999977,-5.108319999999997
22,2015-12-12,452.99,1,buy,1.77814,-16.910000000000025,-18.688140000000026
23,2015-12-13,436.08,1,sell,1.77814,-16.910000000000025,-18.688140000000026
24,2015-12-16,464.5,1,buy,1.8526000000000002,-2.6999999999999886,-4.552599999999989
25,2015-12-20,461.8,1,sell,1.8526000000000002,-2.6999999999999886,-4.552599999999989
26,2016-04-24,451.92,1,buy,1.79462,-6.53000000000003,-8.32462000000003
27,2016-04-28,445.39,1,sell,1.79462,-6.53000000000003,-8.32462000000003
28,2016-06-02,536.95,1,buy,2.59214,222.16999999999996,219.57785999999996
29,2016-06-20,759.12,1,sell,2.59214,222.16999999999996,219.57785999999996
30,2016-06-23,602.82,1,buy,2.45082,19.769999999999982,17.31917999999998
31,2016-06-24,622.59,1,sell,2.45082,19.769999999999982,17.31917999999998
32,2016-08-05,578.14,1,buy,2.3022400000000003,-5.159999999999968,-7.4622399999999685
33,2016-08-06,572.98,1,sell,2.3022400000000003,-5.159999999999968,-7.4622399999999685
34,2016-10-22,628.99,1,buy,2.5670200000000003,25.529999999999973,22.962979999999973
35,2016-10-23,654.52,1,sell,2.5670200000000003,25.529999999999973,22.962979999999973
36,2016-10-30,711.1,1,buy,2.8164000000000002,-14.0,-16.8164
37,2016-10-31,697.1,1,sell,2.8164000000000002,-14.0,-16.8164
38,2016-11-03,742.0,1,buy,2.8536799999999998,-57.15999999999997,-60.013679999999965
39,2016-11-04,684.84,1,sell,2.8536799999999998,-57.15999999999997,-60.013679999999965
40,2016-12-11,772.28,1,buy,3.5540200000000004,232.45000000000005,228.89598000000004
41,2017-01-06,1004.73,1,sell,3.5540200000000004,232.45000000000005,228.89598000000004
42,2017-01-10,896.09,1,buy,3.6022800000000004,8.959999999999923,5.357719999999922
43,2017-01-11,905.05,1,sell,3.6022800000000004,8.959999999999923,5.357719999999922
44,2017-02-20,1051.8,1,buy,4.2716,32.200000000000045,27.928400000000046
45,2017-02-21,1084.0,1,sell,4.2716,32.200000000000045,27.928400000000046
46,2017-02-24,1188.11,1,buy,4.68062,-35.909999999999854,-40.59061999999985
47,2017-02-26,1152.2,1,sell,4.68062,-35.909999999999854,-40.59061999999985
48,2017-02-28,1194.64,1,buy,4.909280000000001,65.3599999999999,60.4507199999999
49,2017-03-05,1260.0,1,sell,4.909280000000001,65.3599999999999,60.4507199999999
50,2017-03-06,1273.0,1,buy,5.1029800000000005,5.490000000000009,0.3870200000000086
51,2017-03-07,1278.49,1,sell,5.1029800000000005,5.490000000000009,0.3870200000000086
52,2017-03-11,1116.97,1,buy,4.58704,59.57999999999993,54.992959999999925
53,2017-03-12,1176.55,1,sell,4.58704,59.57999999999993,54.992959999999925
54,2017-03-27,960.0,1,buy,3.9998400000000003,79.92000000000007,75.92016000000007
55,2017-03-28,1039.92,1,sell,3.9998400000000003,79.92000000000007,75.92016000000007
56,2017-04-24,1241.99,1,buy,5.867,449.52,443.65299999999996
57,2017-05-13,1691.51,1,sell,5.867,449.52,443.65299999999996
58,2017-06-15,2450.0,1,buy,10.16,180.0,169.84
59,2017-06-18,2630.0,1,sell,10.16,180.0,169.84
60,2017-07-22,2670.0,1,buy,10.824739999999998,72.36999999999989,61.54525999999989
61,2017-07-31,2742.37,1,sell,10.824739999999998,72.36999999999989,61.54525999999989
62,2017-08-13,3855.1,1,buy,15.9102,244.9000000000001,228.9898000000001
63,2017-08-19,4100.0,1,sell,15.9102,244.9000000000001,228.9898000000001
64,2017-08-22,3987.52,1,buy,16.14504,97.48000000000002,81.33496000000002
65,2017-08-23,4085.0,1,sell,16.14504,97.48000000000002,81.33496000000002
66,2017-09-16,3700.01,1,buy,15.60322,401.59000000000015,385.9867800000001
67,2017-09-19,4101.6,1,sell,15.60322,401.59000000000015,385.9867800000001
68,2017-09-20,3888.8,1,buy,15.10604,-224.58000000000038,-239.6860400000004
69,2017-09-25,3664.22,1,sell,15.10604,-224.58000000000038,-239.6860400000004
70,2017-10-18,5597.31,1,buy,22.93696,273.8599999999997,250.92303999999967
71,2017-10-24,5871.17,1,sell,22.93696,273.8599999999997,250.92303999999967
72,2017-11-13,5870.37,1,buy,24.95874,738.6300000000001,713.6712600000001
73,2017-11-15,6609.0,1,sell,24.95874,738.6300000000001,713.6712600000001
74,2017-11-27,9271.06,1,buy,51.482119999999995,7198.9400000000005,7147.457880000001
75,2017-12-12,16470.0,1,sell,51.482119999999995,7198.9400000000005,7147.457880000001
76,2017-12-13,16650.01,1,buy,71.67558,2537.7700000000004,2466.0944200000004
77,2017-12-17,19187.78,1,sell,71.67558,2537.7700000000004,2466.0944200000004
78,2017-12-22,15600.01,1,buy,62.7289,164.4300000000003,101.70110000000028
79,2017-12-27,15764.44,1,sell,62.7289,164.4300000000003,101.70110000000028
80,2018-01-01,13880.0,1,buy,58.047340000000005,1263.67,1205.62266
81,2018-01-05,15143.67,1,sell,58.047340000000005,1263.67,1205.62266
82,2018-01-09,14999.99,1,buy,58.807,-596.4799999999996,-655.2869999999996
83,2018-01-10,14403.51,1,sell,58.807,-596.4799999999996,-655.2869999999996
84,2018-01-12,13243.83,1,buy,54.88322000000001,953.9500000000007,899.0667800000007
85,2018-01-14,14197.78,1,sell,54.88322000000001,953.9500000000007,899.0667800000007
86,2018-01-17,11386.34,1,buy,48.32466,1389.6499999999996,1341.3253399999996
87,2018-01-21,12775.99,1,sell,48.32466,1389.6499999999996,1341.3253399999996
88,2018-01-26,11155.54,1,buy,44.49698,-62.590000000000146,-107.08698000000015
89,2018-01-27,11092.95,1,sell,44.49698,-62.590000000000146,-107.08698000000015
90,2018-02-06,6874.27,1,buy,33.78454000000001,3143.7299999999996,3109.9454599999995
91,2018-02-16,10018.0,1,sell,33.78454000000001,3143.7299999999996,3109.9454599999995
92,2018-03-09,9293.06,1,buy,37.6562,241.98000000000138,204.32380000000137
93,2018-03-12,9535.04,1,sell,37.6562,241.98000000000138,204.32380000000137
94,2018-03-31,6839.63,1,buy,27.784760000000002,213.1199999999999,185.33523999999989
95,2018-04-03,7052.75,1,sell,27.784760000000002,213.1199999999999,185.33523999999989
96,2018-05-12,8408.79,1,buy,33.78102,72.92999999999847,39.148979999998474
97,2018-05-13,8481.72,1,sell,33.78102,72.92999999999847,39.148979999998474
98,2018-06-14,6308.49,1,buy,25.89458,330.3100000000004,304.4154200000004
99,2018-06-15,6638.8,1,sell,25.89458,330.3100000000004,304.4154200000004
100,2018-08-05,7009.94,1,buy,28.07766,18.950000000000728,-9.127659999999274
101,2018-08-06,7028.89,1,sell,28.07766,18.950000000000728,-9.127659999999274
102,2018-09-08,6401.01,1,buy,25.41,-97.02000000000044,-122.43000000000043
103,2018-09-11,6303.99,1,sell,25.41,-97.02000000000044,-122.43000000000043
104,2018-11-27,3727.34,1,buy,15.89422,492.4300000000003,476.5357800000003
105,2018-11-29,4219.77,1,sell,15.89422,492.4300000000003,476.5357800000003
106,2019-03-26,3910.0,1,buy,15.66516,12.579999999999927,-3.085160000000073
107,2019-03-27,3922.58,1,sell,15.66516,12.579999999999927,-3.085160000000073
108,2019-04-03,4899.01,1,buy,19.87366,138.8099999999995,118.93633999999949
109,2019-04-12,5037.82,1,sell,19.87366,138.8099999999995,118.93633999999949
110,2019-05-10,6151.66,1,buy,27.0081,1200.7300000000005,1173.7219000000005
111,2019-05-18,7352.39,1,sell,27.0081,1200.7300000000005,1173.7219000000005
112,2019-06-23,10665.66,1,buy,43.63878,488.0699999999997,444.4312199999997
113,2019-06-28,11153.73,1,sell,43.63878,488.0699999999997,444.4312199999997
114,2019-07-01,10759.24,1,buy,45.45848,1210.7600000000002,1165.3015200000002
115,2019-07-04,11970.0,1,sell,45.45848,1210.7600000000002,1165.3015200000002
116,2019-07-05,11144.82,1,buy,45.2465,333.6100000000006,288.3635000000006
117,2019-07-08,11478.43,1,sell,45.2465,333.6100000000006,288.3635000000006
118,2019-07-15,10191.87,1,buy,42.08028,656.3999999999996,614.3197199999996
119,2019-07-16,10848.27,1,sell,42.08028,656.3999999999996,614.3197199999996
120,2019-07-17,9427.45,1,buy,40.131780000000006,1210.9899999999998,1170.8582199999998
121,2019-07-19,10638.44,1,sell,40.131780000000006,1210.9899999999998,1170.8582199999998
122,2019-08-15,10022.5,1,buy,40.6348,272.39999999999964,231.76519999999965
123,2019-08-16,10294.9,1,sell,40.6348,272.39999999999964,231.76519999999965
124,2020-03-13,4841.67,1,buy,22.06922,1351.2699999999995,1329.2007799999994
125,2020-03-20,6192.94,1,sell,22.06922,1351.2699999999995,1329.2007799999994
126,2020-03-21,6207.66,1,buy,25.404719999999998,287.03999999999996,261.63527999999997
127,2020-03-24,6494.7,1,sell,25.404719999999998,287.03999999999996,261.63527999999997
128,2020-03-30,5878.47,1,buy,24.574840000000002,530.4799999999996,505.90515999999957
129,2020-03-31,6408.95,1,sell,24.574840000000002,530.4799999999996,505.90515999999957
130,2020-04-30,8789.79,1,buy,34.839020000000005,-160.07000000000153,-194.90902000000153
131,2020-05-01,8629.72,1,sell,34.839020000000005,-160.07000000000153,-194.90902000000153
132,2020-05-04,8924.14,1,buy,36.9029,603.1700000000001,566.2671
133,2020-05-10,9527.31,1,sell,36.9029,603.1700000000001,566.2671
134,2020-05-13,8816.99,1,buy,36.28144,506.7399999999998,470.4585599999998
135,2020-05-14,9323.73,1,sell,36.28144,506.7399999999998,470.4585599999998
136,2020-10-21,11921.33,1,buy,50.07302,1193.8500000000004,1143.7769800000003
137,2020-10-25,13115.18,1,sell,50.07302,1193.8500000000004,1143.7769800000003
138,2020-10-26,13041.12,1,buy,52.633880000000005,234.6999999999989,182.0661199999989
139,2020-10-29,13275.82,1,sell,52.633880000000005,234.6999999999989,182.0661199999989
140,2020-10-31,13569.42,1,buy,54.66284,192.57999999999993,137.9171599999999
141,2020-11-02,13762.0,1,sell,54.66284,192.57999999999993,137.9171599999999
142,2020-11-06,15608.32,1,buy,60.875280000000004,-779.0,-839.87528
143,2020-11-08,14829.32,1,sell,60.875280000000004,-779.0,-839.87528
144,2020-11-22,18726.43,1,buy,74.90734,0.8100000000013097,-74.0973399999987
145,2020-11-26,18727.24,1,sell,74.90734,0.8100000000013097,-74.0973399999987
146,2020-12-23,23819.08,1,buy,94.06816,-604.0800000000017,-698.1481600000018
147,2020-12-24,23215.0,1,sell,94.06816,-604.0800000000017,-698.1481600000018
148,2020-12-26,24714.01,1,buy,120.32744,10735.7,10615.372560000002
149,2021-01-12,35449.71,1,sell,120.32744,10735.7,10615.372560000002
150,2021-01-22,30817.86,1,buy,127.61392000000001,2171.239999999998,2043.626079999998
151,2021-01-23,32989.1,1,sell,127.61392000000001,2171.239999999998,2043.626079999998
152,2021-01-24,32098.38,1,buy,128.77488,190.6800000000003,61.905120000000295
153,2021-01-25,32289.06,1,sell,128.77488,190.6800000000003,61.905120000000295
154,2021-02-09,46445.51,1,buy,187.73952000000003,978.739999999998,791.0004799999979
155,2021-02-13,47424.25,1,sell,187.73952000000003,978.739999999998,791.0004799999979
156,2021-02-15,48620.48,1,buy,205.58824,5553.159999999996,5347.571759999996
157,2021-02-23,54173.64,1,sell,205.58824,5553.159999999996,5347.571759999996
158,2021-02-26,47070.18,1,buy,186.42455999999999,-928.0800000000017,-1114.5045600000017
159,2021-02-28,46142.1,1,sell,186.42455999999999,-928.0800000000017,-1114.5045600000017
