period,oversold,overbought,total_return,sharpe_ratio,max_drawdown,total_trades
15,25,60,0.8000408528106988,0.4314037940398055,-0.30734694124861556,19
15,25,65,0.6173225426574942,0.31011683163902937,-0.33682547164746357,15
15,25,70,1.2050513141404144,0.5465523378518384,-0.2715680478291374,15
15,25,75,1.332253218385188,0.6558896656372218,-0.13967078266955563,13
15,25,80,0.93421779581921,0.6304860478679896,-0.10286964910850961,11
15,30,60,2.1684658830748593,0.8985634281205671,-0.2192915841842795,29
15,30,65,2.9935963327776305,0.9402067217543776,-0.23190858327556493,25
15,30,70,3.6476788897213144,1.022941963306901,-0.19818547532677172,23
15,30,75,3.938027039840389,0.9991646416715582,-0.13967078266955563,19
15,30,80,2.7316749001046254,0.8371621696610472,-0.18498842094862158,15
15,35,60,0.6702005583037206,0.3834447803437452,-0.37709862703893754,37
15,35,65,1.2840513209622286,0.5913116300389722,-0.3156596432608017,31
15,35,70,2.7475012184199423,0.884901164304942,-0.26654676561312524,29
15,35,75,4.6090089906214775,1.0911596353958088,-0.18774833318141057,25
15,35,80,6.792839383250953,1.1556104540267915,-0.2581060309623356,21
15,40,60,-0.1578974334725493,-0.08568754497147538,-0.6374016307256481,41
15,40,65,0.530951159280341,0.2974675688409294,-0.5331926651969152,35
15,40,70,1.9964976502845582,0.7247442053610043,-0.38969534549689433,33
15,40,75,3.5225527487096158,0.972470815578035,-0.30108522917084135,27
15,40,80,5.321814921311126,1.0214637201299122,-0.3239559485661439,21
20,20,60,5.963702063483696,0.5473974591793337,-0.14665001440715472,5
20,20,65,5.762511867641362,0.5402721819182008,-0.1084683656427455,5
20,20,70,6.399549384804645,0.5695585232107022,0.0,5
20,20,75,6.8413462548587285,0.5874363426390478,0.0,5
20,20,80,6.9294064858343845,0.5909775710600572,0.0,5
20,25,60,3.4415046042371005,0.4951161689374866,-0.3898654048954308,7
20,25,65,3.4422881792894926,0.4943003062035433,-0.3896335459903157,7
20,25,70,4.340941348219096,0.5613429706160944,-0.1908126203718374,7
20,25,75,4.791318488893035,0.6058221514895669,-0.11976540150724119,7
20,25,80,5.730790458275739,0.6911250954841607,-0.11471502278643896,7
20,30,60,0.7789417236628435,0.3816464016734531,-0.289124496950829,15
20,30,65,1.0983237063366094,0.5066859841159084,-0.24725155170683058,15
20,30,70,3.4784927563305215,0.9541183913838414,-0.11033248639547037,15
20,30,75,1.0144415801564133,0.7029320288430151,-0.10326079223768897,11
20,30,80,1.345356779986964,0.5905260184571058,-0.11126316078082218,9
20,35,60,1.060734796092879,0.507461866852814,-0.27121967498629423,21
20,35,65,0.7413865888080583,0.38042515891103607,-0.23546206303702516,17
20,35,70,1.9143970980455185,0.6545793497054627,-0.2596258205838044,15
20,35,75,0.4357826201375821,0.3131066379739714,-0.24206935334360405,11
20,35,80,0.8123218540223857,0.40417108107431826,-0.2534807250226071,9
20,40,60,1.312842354764337,0.6622318202364732,-0.315796499164296,33
20,40,65,2.635513633396934,0.8722595364627296,-0.3028872447542182,29
20,40,70,4.767900382985608,1.1304133498332252,-0.30674571112937105,25
20,40,75,6.38972341179572,1.159433901861748,-0.2883549578316538,21
20,40,80,11.066764729003285,0.8714237338289936,-0.27678804261905954,15
