datetime,price,size,commission,type,pnl,pnlcomm,signal
2015-05-11,239.08,367.97973767728814,175.95319136777212,buy,0.0,-175.95319136777212,1
2015-05-12,240.06000000000003,367.97973767728814,176.6744316536196,sell,360.6201429237408,183.9457112701212,-1
2015-06-06,224.48999999999998,387.9328494171617,174.17409073131728,buy,0.0,-174.17409073131728,1
2015-06-09,228.11,387.9328494171617,176.98272456109754,sell,1404.316914890136,1227.3341903290386,-1
2015-06-20,243.42,365.9847581970977,178.17601968067504,buy,0.0,-178.17601968067504,1
2015-06-21,244.69,365.9847581970977,179.10562096649568,sell,464.8006429103116,285.6950219438159,-1
2015-06-23,247.08999999999997,353.33082005112703,174.60902465286597,buy,0.0,-174.60902465286597,1
2015-06-24,243.78,353.33082005112703,172.26997462412749,sell,-1169.5250143692247,-1341.794988993352,-1
2015-06-27,243.2,356.5951993448775,173.44790496134843,buy,0.0,-173.44790496134843,1
2015-06-30,256.38,356.5951993448775,182.8477544160794,sell,4699.924727365491,4517.076972949411,-1
2015-07-05,260.74,339.8934378094535,177.2476299488738,buy,0.0,-177.2476299488738,1
2015-07-06,270.33,339.8934378094535,183.7667860860591,sell,3259.5780685926584,3075.811282506599,-1
2015-07-10,269.65,334.59706947888765,180.44819956996412,buy,0.0,-180.44819956996412,1
2015-07-11,286.61,334.59706947888765,191.797732166688,sell,5674.766298361952,5482.968566195264,-1
2015-07-13,310.24,300.28066323626973,186.31814592484065,buy,0.0,-186.31814592484065,1
2015-07-14,292.0,300.28066323626973,175.36390732998152,sell,-5477.119297429555,-5652.483204759537,-1
2015-07-24,276.67,321.2136748448197,177.74037483863256,buy,0.0,-177.74037483863256,1
2015-07-26,289.34,321.2136748448197,185.87992935920025,sell,4069.7772602838522,3883.897330924652,-1
2015-08-09,261.71,349.3673143937274,182.86583969996477,buy,0.0,-182.86583969996477,1
2015-08-11,264.33,349.3673143937274,184.6965244273879,sell,915.3423637115775,730.6458392841896,-1
2015-08-20,227.1,414.1554562464939,188.10940822715753,buy,0.0,-188.10940822715753,1
2015-08-22,233.27,414.1554562464939,193.22008655723928,sell,2555.339165040874,2362.1190784836344,-1
2015-08-25,211.79000000000002,462.30600353851656,195.82357697884484,buy,0.0,-195.82357697884484,1
2015-08-28,223.8,462.30600353851656,206.92816718384003,sell,5552.295102497592,5345.366935313752,-1
2015-09-02,227.64999999999998,449.17495224777974,204.50935575841413,buy,0.0,-204.50935575841413,1
2015-09-06,235.45,449.17495224777974,211.51648501347947,sell,3503.564627532687,3292.048142519208,-1
2015-09-15,229.51,450.76931699741834,206.91213188815496,buy,0.0,-206.91213188815496,1
2015-09-18,232.44,450.76931699741834,209.55364008575984,sell,1320.7540988024411,1111.2004587166814,-1
2015-09-22,226.15,464.3681788291109,210.03372728440687,buy,0.0,-210.03372728440687,1
2015-09-25,233.88000000000002,464.3681788291109,217.21285932910493,sell,3589.5660223490268,3372.353163019922,-1
2015-10-09,243.29,439.5425133908472,213.87259616571842,buy,0.0,-213.87259616571842,1
2015-10-10,244.49,439.5425133908472,214.92749819785647,sell,527.4510160690261,312.5235178711696,-1
2015-10-11,245.70999999999998,431.88197213005753,212.23543874415287,buy,0.0,-212.23543874415287,1
2015-10-17,263.09,431.88197213005753,227.24765609539364,sell,7506.108675620388,7278.861019524994,-1
2015-10-19,260.99,420.2300285516201,219.35167030337468,buy,0.0,-219.35167030337468,1
2015-11-01,309.3,420.2300285516201,259.9542956620322,sell,20301.312679328767,20041.358383666735,-1
2015-11-02,325.78,366.1692526263594,238.58123824123072,buy,0.0,-238.58123824123072,1
2015-11-04,404.55,366.1692526263594,296.2675422999874,sell,28843.15202937834,28546.88448707835,-1
2015-11-07,374.41,365.52672252364493,273.71372036015583,buy,0.0,-273.71372036015583,1
2015-11-08,384.62,365.52672252364493,281.17777603408865,sell,3732.0278369664156,3450.850060932327,-1
2015-11-09,372.86,381.74882608699585,284.67773458959454,buy,0.0,-284.67773458959454,1
2015-11-10,378.32,381.74882608699585,288.8464317704645,sell,2084.3485904349945,1795.50215866453,-1
