rsi_period,rsi_oversold,rsi_overbought,bb_period,bb_devfactor,total_return,sharpe_ratio,max_drawdown,total_trades,win_rate
5,20,60,10,1.5,0.19500382202097302,0.14350024476402173,-0.5365694416164447,73,0.5616438356164384
5,20,60,10,2.0,1.6881419007487362,0.5963211552203755,-0.41049875996532115,51,0.5294117647058824
5,20,60,10,2.5,6.2382552172254115,0.6787726124066938,-0.2697778388649459,21,0.6190476190476191
5,20,60,10,3.0,0.0,0.0,0.0,0,0.0
5,20,60,15,1.5,-0.03448608201785857,0.006861951027072119,-0.5594147001939279,63,0.5238095238095238
5,20,60,15,2.0,1.8443571494721267,0.7123950907521064,-0.3777699275824282,57,0.5789473684210527
5,20,60,15,2.5,9.165765031483218,0.9788137512412856,-0.22027457047371457,37,0.7027027027027027
5,20,60,15,3.0,1.6036336244321134,0.8003727929342026,-0.16599610662264486,11,0.8181818181818182
5,20,60,20,1.5,0.5259461811024772,0.30519590127662516,-0.482309714956081,59,0.5254237288135594
5,20,60,20,2.0,0.6425150048230027,0.355684147146212,-0.4469042439543789,49,0.5714285714285714
5,20,60,20,2.5,5.311021237546997,0.9698847757427759,-0.24808026163236171,31,0.6451612903225806
5,20,60,20,3.0,51.867155978269906,1.0062167906439932,-0.19036309786323127,17,0.5294117647058824
5,20,60,25,1.5,-0.016482861671141436,-0.011443423158126891,-0.6045587208921093,49,0.5306122448979592
5,20,60,25,2.0,0.77151424719134,0.4250162031902844,-0.46417373893133185,43,0.5581395348837209
5,20,60,25,2.5,3.7893747809962033,0.8935364895973117,-0.4120717137795983,33,0.6363636363636364
5,20,60,25,3.0,54.30128404744892,0.9896499685723534,-0.18312831229934792,17,0.6470588235294118
5,20,60,30,1.5,0.1788382741296824,0.11513329433150049,-0.5407911707197194,45,0.5777777777777777
5,20,60,30,2.0,1.093880718597791,0.5406432785264229,-0.38437878410461473,37,0.5945945945945946
5,20,60,30,2.5,7.197593743435185,1.2428707569452146,-0.22308515136583382,31,0.7741935483870968
5,20,60,30,3.0,30.172450913166163,1.012404666052713,-0.16275689911594307,21,0.9047619047619048
5,20,65,10,1.5,0.07689813306743512,0.08828690053070358,-0.6309916492447412,69,0.5652173913043478
5,20,65,10,2.0,1.7082152277975238,0.6006048780896827,-0.41049875996532115,51,0.5294117647058824
5,20,65,10,2.5,6.2382552172254115,0.6787726124066938,-0.2697778388649459,21,0.6190476190476191
5,20,65,10,3.0,0.0,0.0,0.0,0,0.0
5,20,65,15,1.5,-0.03448608201785857,0.006861951027072119,-0.5594147001939279,63,0.5238095238095238
5,20,65,15,2.0,1.8443571494721267,0.7123950907521064,-0.3777699275824282,57,0.5789473684210527
5,20,65,15,2.5,9.165765031483218,0.9788137512412856,-0.22027457047371457,37,0.7027027027027027
5,20,65,15,3.0,1.6036336244321134,0.8003727929342026,-0.16599610662264486,11,0.8181818181818182
5,20,65,20,1.5,0.5259461811024772,0.30519590127662516,-0.482309714956081,59,0.5254237288135594
5,20,65,20,2.0,0.6425150048230027,0.355684147146212,-0.4469042439543789,49,0.5714285714285714
5,20,65,20,2.5,5.311021237546997,0.9698847757427759,-0.24808026163236171,31,0.6451612903225806
5,20,65,20,3.0,51.867155978269906,1.0062167906439932,-0.19036309786323127,17,0.5294117647058824
5,20,65,25,1.5,-0.016482861671141436,-0.011443423158126891,-0.6045587208921093,49,0.5306122448979592
5,20,65,25,2.0,0.77151424719134,0.4250162031902844,-0.46417373893133185,43,0.5581395348837209
5,20,65,25,2.5,3.7893747809962033,0.8935364895973117,-0.4120717137795983,33,0.6363636363636364
5,20,65,25,3.0,54.30128404744892,0.9896499685723534,-0.18312831229934792,17,0.6470588235294118
5,20,65,30,1.5,0.1788382741296824,0.11513329433150049,-0.5407911707197194,45,0.5777777777777777
5,20,65,30,2.0,1.093880718597791,0.5406432785264229,-0.38437878410461473,37,0.5945945945945946
5,20,65,30,2.5,7.197593743435185,1.2428707569452146,-0.22308515136583382,31,0.7741935483870968
5,20,65,30,3.0,30.172450913166163,1.012404666052713,-0.16275689911594307,21,0.9047619047619048
5,20,70,10,1.5,0.19692087573896874,0.14069218486790738,-0.5592164155948208,65,0.5692307692307692
5,20,70,10,2.0,1.983970122007488,0.6701586254647656,-0.39253962447653057,51,0.5294117647058824
5,20,70,10,2.5,6.2382552172254115,0.6787726124066938,-0.2697778388649459,21,0.6190476190476191
5,20,70,10,3.0,0.0,0.0,0.0,0,0.0
5,20,70,15,1.5,-0.0459512839827966,-0.011482105008241143,-0.5922386965704546,61,0.5081967213114754
5,20,70,15,2.0,1.6470705660883187,0.6697942361687099,-0.3777699275824282,55,0.5636363636363636
5,20,70,15,2.5,9.165765031483218,0.9788137512412856,-0.22027457047371457,37,0.7027027027027027
5,20,70,15,3.0,1.6036336244321134,0.8003727929342026,-0.16599610662264486,11,0.8181818181818182
5,20,70,20,1.5,0.5259461811024772,0.30519590127662516,-0.482309714956081,59,0.5254237288135594
5,20,70,20,2.0,0.6425150048230027,0.355684147146212,-0.4469042439543789,49,0.5714285714285714
5,20,70,20,2.5,5.311021237546997,0.9698847757427759,-0.24808026163236171,31,0.6451612903225806
5,20,70,20,3.0,51.867155978269906,1.0062167906439932,-0.19036309786323127,17,0.5294117647058824
5,20,70,25,1.5,-0.09585710886269837,-0.06466627699880674,-0.6148639869945224,47,0.5106382978723404
5,20,70,25,2.0,0.6613923298178764,0.3712532918554077,-0.4716371643131049,41,0.5365853658536586
5,20,70,25,2.5,3.7893747809962033,0.8935364895973117,-0.4120717137795983,33,0.6363636363636364
